country,year,value,indicator
ARG,2024,42.4,SI.POV.GINI
ARG,2023,42.4,SI.POV.GINI
ARG,2022,40.7,SI.POV.GINI
ARG,2021,42.4,SI.POV.GINI
ARG,2020,42.7,SI.POV.GINI
ARG,2019,43.3,SI.POV.GINI
ARG,2018,41.7,SI.POV.GINI
ARG,2017,41.4,SI.POV.GINI
ARG,2016,42.3,SI.POV.GINI
ARG,2014,41.8,SI.POV.GINI
ARG,2013,41.1,SI.POV.GINI
ARG,2012,41.4,SI.POV.GINI
ARG,2011,42.7,SI.POV.GINI
ARG,2010,43.7,SI.POV.GINI
BRA,2023,51.6,SI.POV.GINI
BRA,2022,52.0,SI.POV.GINI
BRA,2021,52.9,SI.POV.GINI
BRA,2020,48.9,SI.POV.GINI
BRA,2019,53.5,SI.POV.GINI
BRA,2018,53.9,SI.POV.GINI
BRA,2017,53.3,SI.POV.GINI
BRA,2016,53.4,SI.POV.GINI
BRA,2015,51.9,SI.POV.GINI
BRA,2014,52.0,SI.POV.GINI
BRA,2013,52.7,SI.POV.GINI
BRA,2012,53.4,SI.POV.GINI
BRA,2011,52.9,SI.POV.GINI
CHL,2022,43.0,SI.POV.GINI
CHL,2020,47.0,SI.POV.GINI
CHL,2017,45.3,SI.POV.GINI
CHL,2015,45.3,SI.POV.GINI
CHL,2013,46.8,SI.POV.GINI
CHL,2011,46.9,SI.POV.GINI
COL,2023,53.9,SI.POV.GINI
COL,2022,54.8,SI.POV.GINI
COL,2021,55.1,SI.POV.GINI
COL,2020,53.5,SI.POV.GINI
