country,year,real_wage_index,monthly_wage_usd,sector
ARG,2010,100.0,850,manufacturing
ARG,2012,98.5,840,manufacturing
ARG,2014,95.2,810,manufacturing
ARG,2016,92.1,785,manufacturing
ARG,2018,88.7,755,manufacturing
ARG,2020,85.3,728,manufacturing
ARG,2022,82.1,700,manufacturing
BRA,2010,100.0,620,services
BRA,2012,103.2,640,services
BRA,2014,105.8,656,services
BRA,2016,102.1,633,services
BRA,2018,104.5,648,services
BRA,2020,101.2,628,services
BRA,2022,98.7,612,services
CHL,2010,100.0,950,mining
CHL,2012,105.3,1000,mining
CHL,2014,110.8,1052,mining
CHL,2016,108.2,1028,mining
CHL,2018,112.5,1069,mining
CHL,2020,110.1,1046,mining
CHL,2022,115.2,1094,mining
COL,2010,100.0,580,agriculture
COL,2012,102.1,592,agriculture
COL,2014,104.5,606,agriculture
COL,2016,103.2,599,agriculture
COL,2018,105.8,614,agriculture
COL,2020,102.4,594,agriculture
COL,2022,107.3,622,agriculture
MEX,2010,100.0,520,construction
MEX,2012,99.2,516,construction
MEX,2014,98.5,512,construction
MEX,2016,97.1,505,construction
MEX,2018,96.3,501,construction
MEX,2020,94.8,493,construction
MEX,2022,93.5,486,construction
PER,2010,100.0,640,retail
PER,2012,101.5,649,retail
PER,2014,103.2,661,retail
PER,2016,102.1,654,retail
PER,2018,104.8,671,retail
PER,2020,103.5,663,retail
PER,2022,106.2,681,retail
