country,year,informal_employment_rate,total_employment,informal_workers
Argentina,2015,48.5,18500000,8972500
Argentina,2018,47.2,19200000,9062400
Argentina,2020,49.1,18100000,8887100
Argentina,2022,46.8,19800000,9266400
Brasil,2015,41.2,92400000,38068800
Brasil,2018,40.8,94600000,38596800
Brasil,2020,42.5,89200000,37910000
Brasil,2022,39.7,98300000,39025100
Chile,2015,27.8,8200000,2279600
Chile,2018,26.3,8600000,2261800
Chile,2020,28.9,8100000,2340900
Chile,2022,25.1,8900000,2233900
Colombia,2015,59.3,21500000,12749500
Colombia,2018,57.8,22800000,13178400
Colombia,2020,61.2,21200000,12974400
Colombia,2022,56.4,23600000,13310400
Mexico,2015,57.2,52400000,29972800
Mexico,2018,56.8,54200000,30785600
Mexico,2020,58.1,53100000,30851100
Mexico,2022,55.3,56800000,31410400
Peru,2015,72.1,15800000,11391800
Peru,2018,70.5,16900000,11914500
Peru,2020,74.8,15600000,11668800
Peru,2022,69.2,17400000,12042800
