file,line,text
"src/web/routes.py",175,"Editar datasets"
"src/web/routes.py",183,"Buscar indicadores y temas"
"src/web/routes.py",207,"Visualizacion"
"src/web/routes.py",207,"Explorar con PyGWalker"
"src/web/routes.py",305,"Atajos y guia"
"src/web/templates/base.html",46,"Mostrar menú / Ocultar menú"
"src/web/templates/browse_local.html",48,"Descargar todo"
"src/web/templates/browse_local.html",93,"Actualizar datasets seleccionados (title)"
"src/web/templates/browse_local.html",95,"Actualizando... / Actualizar seleccionados"
"src/web/templates/browse_local.html",149,"Seleccionar todos (title)"
"src/web/templates/browse_local.html",198,"Editar dataset (title)"
"src/web/templates/browse_local.html",236,"Editar dataset (link title)"
"src/web/templates/visualization_canvas.html",10,"Buscar dataset (placeholder)"
"src/web/templates/visualization_canvas.html",105,"Guardar como"
"src/web/templates/visualization_canvas.html",236,"No se pudo cargar dataset ${datasetId}"
"src/web/templates/visualization_canvas.html",376,"No se pudo crear el fork"
"src/web/templates/visualization_canvas.html",379,"No se pudo crear el fork (error)"
"src/web/templates/visualization_pygwalker_frame.html",45,"Selecciona un dataset para abrir PyGWalker."
"src/web/templates/visualization_pygwalker.html",78,"PyGWalker podría tardar en cargar o consumir mucha memoria del navegador."
"src/web/templates/copilot_chat.html",592,"Ocultar panel (title)"
"src/web/templates/copilot_chat.html",713,"Explorar"
"src/web/templates/copilot_chat.html",727,"Abrir canvas de visualización (con gráficos actuales si hay)"
"src/web/templates/copilot_chat.html",732,"Gráfico de correlación con 2 datasets (cruce como Compare)"
"src/web/templates/copilot_chat.html",785,"¡Sin problemas detectados!"
"src/web/templates/copilot_chat.html",793,"Limpiar Automático"
"src/web/templates/copilot_chat.html",856,"Gráficos propuestos (comment/label)"
"src/web/templates/copilot_chat.html",860,"Gráficos propuestos"
"src/web/templates/copilot_chat.html",868,"Abrir canvas y generar este gráfico (title)"
"src/web/templates/copilot_chat.html",1157,"Tipo de Gráfico"
"src/web/templates/copilot_chat.html",1191,"Seleccionar... (option)"
"src/web/templates/copilot_chat.html",1215,"Seleccionar... (option)"
"src/web/templates/copilot_chat.html",1277,"Ej: Mostrar solo top 10 países... (placeholder)"
"src/web/templates/copilot_chat.html",1283,"Título"
"src/web/templates/copilot_chat.html",1285,"Título del gráfico (placeholder)"
"src/web/templates/copilot_chat.html",1365,"Descripción (NL)"
"src/web/templates/copilot_chat.html",1367,"Placeholder ejemplo en español para cálculo de campo"
"src/web/templates/copilot_chat.html",1402,"Código Generado"
"src/web/templates/copilot_chat.html",1743,"No puedes eliminar el último thread. Crea uno nuevo primero."
"src/web/templates/copilot_chat.html",1754,"¿Eliminar este thread? Esta acción no se puede deshacer."
"src/web/templates/copilot_chat.html",2313,"Exploración Completada"
"src/web/templates/copilot_chat.html",2323,"ℹ️ No hay problemas de calidad para limpiar. Ejecuta primero el análisis de calidad."
"src/web/templates/copilot_chat.html",2344,"Código generado para limpiar:"
"src/web/templates/copilot_chat.html",2531,"Error generando gráfico: (alert)"
"src/web/templates/copilot_chat.html",2555,"Error renderizando gráfico"
"src/web/templates/copilot_chat.html",2657,"¿Eliminar todos los gráficos del canvas? (confirm)"
"src/web/templates/copilot_chat.html",3021,"Pasar los gráficos del canvas al abrir /visualizepg... (comment)"
"src/web/templates/copilot_chat.html",3245,"Ver código (title)"
"src/web/templates/copilot_chat.html",3276,"Copiar código (title)"
"src/web/templates/copilot_chat.html",3280,"Ejecutar código (title)"
"src/web/templates/copilot_chat.html",3419,"Error: No se pudo acceder al estado de la aplicación (alert)"
"src/web/templates/copilot_chat.html",3462,"✅ Código Ejecutado (message)"
"src/web/templates/copilot_chat.html",3506,"❌ Error al ejecutar: ${error.message} (message)"
"src/web/api/visualization.py",29,"patterns include: país, provincia, región"
"src/web/api/visualization.py",33,"patterns include: año, fecha, mes, día, hora"
"src/web/api/visualization.py",45,"patterns include: código, tipo"
"src/web/api/visualization.py",716,"check for 'últim' (spanish token)"
"src/web/api/visualization.py",727,"'púrpura' color name"
"src/web/api/visualization.py",889,"field check includes año/fecha/mes"
"src/web/api/visualization.py",1427,"checks include 'posición'"
"src/web/api/visualization.py",1437,"checks include 'media móvil', 'promedio móvil'"
"src/web/api/visualization.py",1466,"checks include 'proporción', 'porcentaje de'"
"src/web/api/agent.py",83,"sample rows keys: pais, año, pib"
"src/web/api/agent.py",309,"topic default: Análisis de Datos"
"src/web/api/agent.py",327,"topic example: Análisis PIB LATAM"
